id,brand,series,year,model,price,sales_name,displacement,energy_type
23562,AC Schnitzer,AC Schnitzer M3,2015款,2015款 ACS3 sport,109.00万,,,
24355,AC Schnitzer,AC Schnitzer X5,2015款,2015款 ACS35 35i,110.00万,,,
76430,AITO 问界,问界M6,2026款,2026款 增程 基本型,,问界M6 2026款 增程 基本型,1.5,增程式
76548,AITO 问界,问界M6,2026款,2026款 纯电 基本型,,问界M6 2026款 纯电 基本型,-,纯电动
72007,AITO 问界,问界M5,2025款,2025款 纯电  Ultra 后驱版,23.98万,问界M5 2025款 纯电  Ultra ,-,纯电动
72005,AITO 问界,问界M5,2025款,2025款 增程 Ultra 后驱版,22.98万,问界M5 2025款 增程 Ultra ,1.5,增程式
72006,AITO 问界,问界M5,2025款,2025款 增程   Ultra 四驱版,24.98万,问界M5 2025款 增程   Ultra 四驱,1.5,增程式
74670,AITO 问界,问界M5,2025款,2025款  欧洲版,,,,
67787,AITO 问界,问界M5,2024款,2024款 纯电 Max 后驱高阶智驾版,26.98万,,,
67783,AITO 问界,问界M5,2024款,2024款 增程 Max 后驱高阶智驾版,24.98万,,,
67784,AITO 问界,问界M5,2024款,2024款 增程 Max RS 四驱高阶智驾版,27.98万,,,
62503,AITO 问界,问界M5,2023款,2023款 增程后驱标准版,24.98万,,,
62504,AITO 问界,问界M5,2023款,2023款 增程四驱标准版,26.98万,,,
62505,AITO 问界,问界M5,2023款,2023款 增程后驱智驾版,27.98万,,,
62497,AITO 问界,问界M5,2023款,2023款 增程四驱智驾版,29.98万,,,
62510,AITO 问界,问界M5,2023款,2023款 纯电后驱标准版,25.98万,,,
62512,AITO 问界,问界M5,2023款,2023款 纯电后驱智驾版,28.98万,,,
62498,AITO 问界,问界M5,2023款,2023款 纯电四驱智驾版,30.98万,,,
55142,AITO 问界,问界M5,2022款,2022款 增程后驱标准版,25.98万,,,
53200,AITO 问界,问界M5,2022款,2022款 增程四驱性能版,29.48万,,,
56161,AITO 问界,问界M5,2022款,2022款 增程四驱至臻版,28.88万,,,
55143,AITO 问界,问界M5,2022款,2022款 增程四驱旗舰版,33.18万,,,
57578,AITO 问界,问界M5,2022款,2022款 纯电后驱标准版,25.98万,,,
57611,AITO 问界,问界M5,2022款,2022款 纯电四驱性能版,28.98万,,,
74569,AITO 问界,问界M7,2026款,2026款 增程 Pro+四驱版 6座,29.98万,问界M7 2026款 增程 Pro+四驱 6座,1.5,增程式
76252,AITO 问界,问界M7,2026款,2026款 增程 Max长续航版 6座,31.98万,问界M7 2026款 增程 Max长续航 6座,1.5,增程式
74568,AITO 问界,问界M7,2026款,2026款 增程 Max四驱版 6座,33.98万,问界M7 2026款 增程 Max四驱 6座,1.5,增程式
74162,AITO 问界,问界M7,2026款,2026款 增程 Ultra四驱版 6座,35.98万,问界M7 2026款 增程 Ultra四驱 6座,1.5,增程式
74163,AITO 问界,问界M7,2026款,2026款 纯电 Max长续航版 6座,33.98万,问界M7 2026款 纯电 Max长续航 6座,-,纯电动
74567,AITO 问界,问界M7,2026款,2026款 纯电 Max四驱版 6座,35.98万,问界M7 2026款 纯电 Max四驱 6座,-,纯电动
74367,AITO 问界,问界M7,2026款,2026款 纯电 Ultra四驱版 6座,37.98万,问界M7 2026款 纯电 Ultra四驱 6座,-,纯电动
74571,AITO 问界,问界M7,2026款,2026款 增程 Pro+四驱版 5座,27.98万,问界M7 2026款 增程 Pro+四驱 5座,1.5,增程式
74570,AITO 问界,问界M7,2026款,2026款 增程 Max四驱版 5座,31.98万,问界M7 2026款 增程 Max四驱 5座,1.5,增程式
76251,AITO 问界,问界M7,2026款,2026款 增程 Max长续航版 5座,29.98万,问界M7 2026款 增程 Max长续航 5座,1.5,增程式
73993,AITO 问界,问界M7,2026款,2026款 增程 Ultra四驱版 5座,33.98万,问界M7 2026款 增程 Ultra四驱 5座,1.5,增程式
74566,AITO 问界,问界M7,2026款,2026款 纯电 Max长续航版 5座,31.98万,问界M7 2026款 纯电 Max长续航 5座,-,纯电动
74565,AITO 问界,问界M7,2026款,2026款 纯电 Max四驱版 5座,33.98万,问界M7 2026款 纯电 Max四驱 5座,-,纯电动
74161,AITO 问界,问界M7,2026款,2026款 纯电 Ultra四驱版 5座,35.98万,问界M7 2026款 纯电 Ultra四驱 5座,-,纯电动
74669,AITO 问界,问界M7,2025款,2025款  欧洲版,,,,
69375,AITO 问界,问界M7,2024款,2024款 1.5T 智驾后驱Pro版 5座,24.98万,问界M7 2024款 1.5T 智驾Pro 5座,1.5,增程式
69377,AITO 问界,问界M7,2024款,2024款 1.5T 智驾后驱Pro版 6座,26.98万,问界M7 2024款 1.5T 智驾Pro 6座,1.5,增程式
69376,AITO 问界,问界M7,2024款,2024款 1.5T 智驾四驱Pro版 5座,26.98万,问界M7 2024款 1.5T 智驾四驱Pro 5座,1.5,增程式
69378,AITO 问界,问界M7,2024款,2024款 1.5T 智驾四驱Pro版 6座,28.98万,问界M7 2024款 1.5T 智驾四驱Pro 6座,1.5,增程式
68398,AITO 问界,问界M7,2024款,2024款 1.5T 智驾后驱Ultra版 5座,28.98万,问界M7 2024款 1.5T 智驾Ultra 5座,1.5,增程式
68399,AITO 问界,问界M7,2024款,2024款 1.5T 智驾后驱Ultra版 6座,30.98万,问界M7 2024款 1.5T 智驾Ultra 6座,1.5,增程式
68400,AITO 问界,问界M7,2024款,2024款 1.5T 智驾四驱Ultra版 5座,30.98万,问界M7 2024款 1.5T 智驾四驱Ultra 5座,1.5,增程式
68401,AITO 问界,问界M7,2024款,2024款 1.5T 智驾四驱Ultra版 6座,32.98万,问界M7 2024款 1.5T 智驾四驱Ultra 6座,1.5,增程式
64496,AITO 问界,问界M7,2024款,2024款 1.5T 后驱Plus版 5座,24.98万,,,
64498,AITO 问界,问界M7,2024款,2024款 1.5T 后驱Plus版 6座,26.98万,,,
64497,AITO 问界,问界M7,2024款,2024款 1.5T 四驱Plus版 5座,28.48万,,,
66050,AITO 问界,问界M7,2024款,2024款 1.5T 智驾后驱Max版 5座,28.98万,,,
66051,AITO 问界,问界M7,2024款,2024款 1.5T 智驾后驱Max版 6座,30.98万,,,
64404,AITO 问界,问界M7,2024款,2024款 1.5T 智驾四驱Max版 5座,30.98万,,,
64499,AITO 问界,问界M7,2024款,2024款 1.5T 智驾四驱Max版 6座,32.98万,,,
57099,AITO 问界,问界M7,2022款,2022款 1.5T 后驱舒适版,28.98万,,,
55712,AITO 问界,问界M7,2022款,2022款 1.5T 四驱豪华版,30.98万,,,
58060,AITO 问界,问界M7,2022款,2022款 1.5T 四驱旗舰版,37.98万,,,
72086,AITO 问界,问界M8,2025款,2025款 增程 Max版 37kWh 6座版,36.98万,问界M8 2025款 增程 Max 37kWh 6座,1.5,增程式
72087,AITO 问界,问界M8,2025款,2025款 增程 Max+版 53.4kWh 6座版,39.98万,问界M8 2025款 增程 Max+ 53.4kWh 6座,1.5,增程式
72088,AITO 问界,问界M8,2025款,2025款 增程 Ultra版 53.4kWh 6座版,44.98万,问界M8 2025款 增程 Ultra 53.4kWh 6座,1.5,增程式
71238,AITO 问界,问界M8,2025款,2025款 增程 Max版 37kWh 5座版,35.98万,问界M8 2025款 增程 Max 37kWh 5座,1.5,增程式
71397,AITO 问界,问界M8,2025款,2025款 增程 Max+版 53.4kWh 5座版,37.98万,问界M8 2025款 增程 Max+ 53.4kWh 5座,1.5,增程式
72085,AITO 问界,问界M8,2025款,2025款 增程 Ultra版 53.4kWh 5座版,42.98万,问界M8 2025款 增程 Ultra 53.4kWh 5座,1.5,增程式
73842,AITO 问界,问界M8,2025款,2025款 纯电 Max+ 六座长续航版 ,37.98万,问界M8 2025款 纯电 Max+ 六座长续航,-,纯电动
73805,AITO 问界,问界M8,2025款,2025款 纯电 Max+ 六座四驱版 ,39.98万,问界M8 2025款 纯电 Max+ 六座四驱,-,纯电动
73981,AITO 问界,问界M8,2025款,2025款 纯电 Ultra 六座四驱版,44.98万,问界M8 2025款 纯电 Ultra 六座四驱,-,纯电动
